"Department","Urban/Rural","Sex","Age","Indiginous","Civil_Status","Residence_2016","Department_2016","Country_2016","Reason","Info_status","Employment_type","Income","Education","Occupation","Pay_frequency","Monthly_Income"
"Chuquisaca","Urban","Female",17,"Belongs","Single","Elsewhere in the country","Chuquisaca",NA,"Education",NA,"Unpaid Laborer",NA,"Incomplete Secondary","Unskilled Workers",NA,NA
"Chuquisaca","Urban","Male",34,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Job Search",NA,"Non-salaried employer/partner",60000,"Complete Secondary","Construction/Manufacturing Industry Workers","Quarterly",20000
"Chuquisaca","Urban","Female",30,"Belongs","Married","Elsewhere in the country","La Paz",NA,"Family Reason","Stay-at-Home",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",7,"Belongs",NA,"Elsewhere in the country","La Paz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",33,"Belongs","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Self-Employed",140,"Incomplete Primary","Installation/Machinery Operators","Daily",4200
"Chuquisaca","Urban","Female",30,"Belongs","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Self-Employed",500,"Higher Education","Service Workers/Merchants","Daily",15000
"Chuquisaca","Urban","Male",6,"Belongs",NA,"Abroad","","Argentina","Family Reason",NA,NA,NA,"None",NA,NA,NA
"Chuquisaca","Urban","Male",32,"Belongs","Commonlaw Marriage","Elsewhere in the country","Potosí",NA,"Health",NA,"Unskilled Laborer",NA,"Incomplete Primary","Installation/Machinery Operators",NA,NA
"Chuquisaca","Urban","Male",22,"Belongs","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Self-Employed",150,"Incomplete Secondary","Installation/Machinery Operators","Daily",4500
"Chuquisaca","Urban","Female",20,"Belongs","Commonlaw Marriage","Abroad","","Argentina","Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",33,"Belongs","Single","Elsewhere in the country","Santa Cruz",NA,"Family Reason","Stay-at-Home",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",12,"Belongs","Single","Elsewhere in the country","Chuquisaca",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Complete Primary","Unskilled Workers",NA,NA
"Chuquisaca","Urban","Female",22,"Belongs","Single","Elsewhere in the country","Potosí",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Incomplete Primary","Service Workers/Merchants",NA,NA
"Chuquisaca","Urban","Female",20,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Family Reason","Stay-at-Home",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",27,"Does not belong","Separated","Elsewhere in the country","Chuquisaca",NA,"Job Search",NA,"Self-Employed",60,"Incomplete Primary","Unskilled Workers","Daily",1800
"Chuquisaca","Urban","Male",12,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Complete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",39,"Belongs","Married","Elsewhere in the country","Santa Cruz",NA,"Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Primary","Installation/Machinery Operators",NA,NA
"Chuquisaca","Urban","Female",33,"Belongs","Married","Elsewhere in the country","Santa Cruz",NA,"Family Reason","Stay-at-Home",NA,NA,"None",NA,NA,NA
"Chuquisaca","Urban","Male",8,"Belongs",NA,"Elsewhere in the country","Santa Cruz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",42,"Belongs","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,"Self-Employed",280,"Complete Secondary","Installation/Machinery Operators","Daily",8400
"Chuquisaca","Urban","Female",36,"Belongs","Commonlaw Marriage","Abroad","","Argentina","Family Reason","Stay-at-Home",NA,NA,"Complete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",16,"Belongs","Single","Abroad","","Argentina","Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",11,"Belongs",NA,"Abroad","","Argentina","Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",40,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Chuquisaca",NA,"Work Transfer",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Male",27,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Health",NA,"Unskilled Laborer",NA,"Incomplete Secondary","Mid-Level Technicians",NA,NA
"Chuquisaca","Urban","Female",35,"Does not belong","Commonlaw Marriage","Elsewhere in the country","Santa Cruz",NA,"Health","Stay-at-Home",NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Female",34,"Belongs","Married","Elsewhere in the country","Potosí",NA,"Family Reason","Stay-at-Home",NA,NA,"Complete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",11,"Does not belong",NA,"Elsewhere in the country","Potosí",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Female",27,"Does not belong","Separated","Elsewhere in the country","Santa Cruz",NA,"Family Reason",NA,"Self-Employed",300,"Incomplete Primary","Construction/Manufacturing Industry Workers","Daily",9000
"Chuquisaca","Urban","Male",15,"Does not belong","Single","Elsewhere in the country","Santa Cruz",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",10,"Does not belong",NA,"Elsewhere in the country","Santa Cruz",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",6,"Does not belong",NA,"Elsewhere in the country","Santa Cruz",NA,"Family Reason",NA,NA,NA,"None",NA,NA,NA
"Chuquisaca","Urban","Male",25,"Does not belong","Single","Abroad","","Brasil","Family Reason",NA,"Unskilled Laborer",NA,"Incomplete Primary","Service Workers/Merchants",NA,NA
"Chuquisaca","Urban","Female",15,"Does not belong","Single","Elsewhere in the country","Chuquisaca",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",37,"Belongs","Married","Elsewhere in the country","Potosí",NA,"Health","Stay-at-Home",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",14,"Belongs","Single","Elsewhere in the country","Potosí",NA,"Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Urban","Female",10,"Belongs",NA,"Elsewhere in the country","Potosí",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",9,"Belongs",NA,"Elsewhere in the country","Potosí",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Male",7,"Belongs",NA,"Elsewhere in the country","Potosí",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Female",13,"Does not belong","Single","Abroad","","Chile","Family Reason","Student",NA,NA,"Incomplete Secondary",NA,NA,NA
"Chuquisaca","Urban","Male",27,"Does not belong","Single","Elsewhere in the country","Cochabamba",NA,"Job Search",NA,"Unskilled Laborer",NA,"Higher Education","Scientific and Intellectual Professionals",NA,NA
"Chuquisaca","Urban","Female",32,"Does not belong","Separated","Elsewhere in the country","Chuquisaca",NA,"Job Search",NA,"Unskilled Laborer",NA,"Higher Education","Mid-Level Technicians",NA,NA
"Chuquisaca","Urban","Female",33,"Does not belong","Commonlaw Marriage","Abroad","","Argentina","Family Reason",NA,NA,NA,"Higher Education",NA,NA,NA
"Chuquisaca","Urban","Male",5,"Does not belong",NA,"Abroad","","Argentina","Family Reason",NA,NA,NA,"None",NA,NA,NA
"Chuquisaca","Urban","Female",50,"Does not belong","Separated","Elsewhere in the country","Potosí",NA,"Family Reason","Sick/Disabled",NA,NA,"Incomplete Primary",NA,NA,NA
"Chuquisaca","Urban","Female",9,"Does not belong",NA,"Elsewhere in the country","Potosí",NA,"Family Reason","Student",NA,NA,"Incomplete Primary",NA,NA,NA
